Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019-07-22,3.95009,,,,,,3.37414,7.6332,18.81554,26.91834,20.4658,25.54437,23.19537,21.79431,22.274,18.11776,11.64545,8.40069,12.79556,16.68755,8.3466,2.31968,4.02462,4.4718
2019-07-23,,,,,,4.31015,11.2,13.80515,12.63797,21.12249,30.40601,22.31605,16.9704,18.39611,12.92316,17.354,12.34435,14.64248,22.07597,14.8491,16.9478,16.8889,5.64503,
2019-07-24,,,,,,1.4336,4.14338,7.42258,8.88251,14.63156,24.66279,26.74398,22.10714,17.39681,22.00472,17.72866,21.59764,10.73934,23.1625,27.42038,13.9036,4.75938,,
2019-07-25,,,,,,1.95874,5.8233,8.51028,10.2618,7.51746,2.83833,5.7025,13.34659,32.12077,34.68515,30.38966,18.39624,15.37304,21.64087,10.33152,10.2667,7.25549,,
2019-07-26,,,,,,3.69794,5.75256,6.10632,5.71436,17.21251,19.4067,23.86202,20.30909,8.24498,1.20192,1.9944,11.21732,21.08323,20.63934,13.16463,13.80341,19.73956,7.47566,
2019-07-27,,,,,,,3.6765,6.45543,8.0754,9.80785,20.11065,23.66202,23.94946,25.19882,28.95168,27.65763,17.30754,13.28958,13.482,7.88422,12.74177,11.10964,8.60077,1.7941
2019-07-28,,,,,,,5.50563,10.16325,13.64655,18.50776,13.24278,21.21762,13.11051,12.07271,19.91754,11.6701,13.381,14.76831,18.76201,20.57171,11.5273,1.55914,,
2019-07-29,,,,,,1.72924,6.73976,4.64648,5.81562,26.47552,28.71904,31.4412,40.56823,30.55841,15.4173,15.3048,7.6651,6.09738,3.6396,3.59649,3.00012,,,
2019-07-30,1.62846,,,,,2.20751,4.48058,16.60563,23.20732,29.18612,25.5292,27.09309,27.11283,15.23649,19.73697,30.5777,26.93124,24.57536,23.1308,24.50342,13.80634,11.5014,6.23796,5.4282
2019-07-31,,,,,,,5.39292,6.2226,9.79512,25.44559,28.84365,19.88919,24.87183,28.48774,29.50031,15.55367,0.53298,0.6722,19.29056,28.27924,9.33063,0.5418,,
2019-08-01,,,,,,,5.50727,14.26283,16.75332,25.07252,35.41362,33.85343,17.7278,23.5135,15.33848,15.80145,19.93362,13.77764,21.22796,16.88762,3.91605,0.60852,,
2019-08-02,,,,,,0.87232,6.5424,3.8164,4.85576,14.45973,25.22146,14.71093,15.22569,19.53615,22.0146,19.85374,3.1328,10.5262,15.1127,12.66424,8.3587,,,
2019-08-03,,,,,,,0.76188,5.09362,5.7134,10.83642,19.814,21.69217,31.95025,17.56142,11.77122,3.49207,14.78164,20.43997,16.03656,10.97433,17.1414,20.59282,5.52111,
2019-08-04,6.7152,6.7152,0.5596,,,,,,,5.92269,19.65228,17.82416,22.09382,19.11555,9.58386,1.32704,,11.51745,18.02554,13.97286,12.0957,6.7152,6.7152,6.7152
2019-08-05,1.20938,,,,,1.5132,5.00656,6.91056,5.00415,12.21685,25.03575,13.08426,13.36622,12.21408,21.38064,17.18654,11.91903,11.03962,9.64586,22.3962,19.113,6.47127,5.61047,10.0356
2019-08-06,,,,,,1.05136,3.9426,4.02203,9.56246,13.1111,11.03257,18.80942,23.74299,14.7004,8.28542,6.78428,1.33824,7.88047,6.55746,8.04232,4.32684,,,
2019-08-07,6.1524,1.0254,,,,1.5057,5.50087,13.44477,9.94503,21.45688,32.44968,30.38019,21.35564,27.56082,18.21219,14.38643,14.85757,17.94094,23.61605,14.36873,8.78552,13.00466,13.1208,10.2173
2019-08-08,,,,,,2.01376,11.46982,17.27196,7.60328,19.43081,22.27614,20.21824,11.7193,26.72771,18.10143,21.5218,9.03532,,11.43956,25.03191,25.45686,14.763,9.63648,4.43289
2019-08-09,,,,,,2.4221,15.05397,10.19657,13.66068,38.17278,43.32547,25.46537,10.61168,11.70009,15.58172,8.41892,12.1191,9.18293,20.06909,28.70697,10.99329,7.70586,0.9905,
2019-08-10,,,,,,,,9.19848,16.78517,14.57322,10.21616,15.59894,12.40016,14.01734,10.00878,16.14903,12.02272,18.0739,10.99168,4.70025,5.4828,2.01036,,
2019-08-11,,,,,,,0.89782,12.42668,19.72424,19.0956,11.61956,15.84586,22.6468,23.48843,26.50222,21.41387,9.8309,1.63926,1.04167,4.65892,9.0942,5.16929,3.69108,
2019-08-12,,,,,,2.26206,12.28292,6.8444,9.60357,19.74088,21.96563,29.84151,27.35242,27.32606,28.6159,13.5125,14.83145,13.46299,13.27556,2.9316,,,,
2019-08-13,5.445,5.445,5.445,1.17975,,,2.57775,7.50468,7.55994,17.05908,25.58198,34.36036,10.23931,21.08115,23.55369,24.09482,8.74538,2.72866,7.74433,8.3237,10.87145,12.534,11.8251,5.445
2019-08-14,,,,,,0.20488,11.73417,15.213,11.38607,24.41758,25.52337,12.02982,11.52112,14.49508,7.0955,17.25061,13.64442,14.06079,16.95593,4.04188,5.62968,0.40212,,
